bag_id,x,y
2,4096,0
3,6144,0
14,0,2048
15,2048,2048
16,4096,2048
17,6144,2048
18,8192,2048
19,10240,2048
29,2048,4096
30,4096,4096
31,6144,4096
32,8192,4096
33,10240,4096
43,2048,6144
44,4096,6144
45,6144,6144
46,8192,6144
47,10240,6144
48,12288,6144
49,14336,6144
57,2048,8192
58,4096,8192
59,6144,8192
60,8192,8192
61,10240,8192
62,12288,8192
63,14336,8192
71,2048,10240
72,4096,10240
73,6144,10240
74,8192,10240
75,10240,10240
76,12288,10240
77,14336,10240
78,16384,10240
79,18432,10240
85,2048,12288
86,4096,12288
87,6144,12288
88,8192,12288
89,10240,12288
90,12288,12288
91,14336,12288
92,16384,12288
93,18432,12288
94,20480,12288
97,26624,12288
99,2048,14336
100,4096,14336
101,6144,14336
102,8192,14336
103,10240,14336
104,12288,14336
105,14336,14336
106,16384,14336
107,18432,14336
108,20480,14336
114,4096,16384
115,6144,16384
116,8192,16384
117,10240,16384
118,12288,16384
119,14336,16384
120,16384,16384
121,18432,16384
122,20480,16384
128,4096,18432
129,6144,18432
130,8192,18432
131,10240,18432
132,12288,18432
133,14336,18432
134,16384,18432
135,18432,18432
136,20480,18432
137,22528,18432
142,4096,20480
143,6144,20480
144,8192,20480
145,10240,20480
146,12288,20480
147,14336,20480
148,16384,20480
149,18432,20480
150,20480,20480
151,22528,20480
156,4096,22528
157,6144,22528
158,8192,22528
159,10240,22528
160,12288,22528
161,14336,22528
162,16384,22528
163,18432,22528
164,20480,22528
165,22528,22528
166,24576,22528
171,6144,24576
172,8192,24576
173,10240,24576
174,12288,24576
175,14336,24576
176,16384,24576
177,18432,24576
178,20480,24576
179,22528,24576
180,24576,24576
181,26624,24576
186,8192,26624
187,10240,26624
188,12288,26624
189,14336,26624
190,16384,26624
191,18432,26624
192,20480,26624
193,22528,26624
194,24576,26624
195,26624,26624
200,8192,28672
201,10240,28672
202,12288,28672
203,14336,28672
204,16384,28672
205,18432,28672
206,20480,28672
207,22528,28672
208,24576,28672
209,26624,28672
215,10240,30720
216,12288,30720
218,16384,30720
219,18432,30720
222,24576,30720
