bag_id,x,y
0,0,0
1,2048,0
2,4096,0
3,6144,0
4,8192,0
5,10240,0
6,12288,0
7,14336,0
13,2048,2048
14,4096,2048
15,6144,2048
16,8192,2048
17,10240,2048
18,12288,2048
19,14336,2048
20,16384,2048
27,6144,4096
28,8192,4096
29,10240,4096
30,12288,4096
31,14336,4096
32,16384,4096
33,18432,4096
41,10240,6144
42,12288,6144
43,14336,6144
44,16384,6144
45,18432,6144
46,20480,6144
54,12288,8192
55,14336,8192
56,16384,8192
57,18432,8192
58,20480,8192
59,22528,8192
67,14336,10240
68,16384,10240
69,18432,10240
70,20480,10240
71,22528,10240
79,14336,12288
80,16384,12288
81,18432,12288
82,20480,12288
83,22528,12288
92,16384,14336
93,18432,14336
94,20480,14336
95,22528,14336
106,20480,16384
