bag_id,x,y
9,18432,0
10,20480,0
11,22528,0
12,24576,0
21,10240,2048
22,12288,2048
23,14336,2048
24,16384,2048
25,18432,2048
26,20480,2048
27,22528,2048
28,24576,2048
32,0,4096
33,2048,4096
34,4096,4096
35,6144,4096
36,8192,4096
37,10240,4096
38,12288,4096
39,14336,4096
40,16384,4096
41,18432,4096
42,20480,4096
43,22528,4096
44,24576,4096
45,26624,4096
46,28672,4096
48,0,6144
49,2048,6144
50,4096,6144
51,6144,6144
52,8192,6144
53,10240,6144
56,16384,6144
57,18432,6144
58,20480,6144
59,22528,6144
60,24576,6144
61,26624,6144
62,28672,6144
65,2048,8192
66,4096,8192
67,6144,8192
68,8192,8192
69,10240,8192
70,12288,8192
71,14336,8192
72,16384,8192
73,18432,8192
74,20480,8192
75,22528,8192
76,24576,8192
77,26624,8192
78,28672,8192
80,0,10240
81,2048,10240
82,4096,10240
83,6144,10240
84,8192,10240
85,10240,10240
86,12288,10240
87,14336,10240
88,16384,10240
89,18432,10240
90,20480,10240
91,22528,10240
92,24576,10240
93,26624,10240
94,28672,10240
95,30720,10240
96,0,12288
97,2048,12288
98,4096,12288
99,6144,12288
100,8192,12288
101,10240,12288
102,12288,12288
103,14336,12288
104,16384,12288
105,18432,12288
106,20480,12288
107,22528,12288
108,24576,12288
109,26624,12288
110,28672,12288
112,0,14336
113,2048,14336
114,4096,14336
115,6144,14336
116,8192,14336
117,10240,14336
118,12288,14336
119,14336,14336
120,16384,14336
121,18432,14336
122,20480,14336
123,22528,14336
125,26624,14336
126,28672,14336
128,0,16384
129,2048,16384
130,4096,16384
131,6144,16384
132,8192,16384
133,10240,16384
134,12288,16384
135,14336,16384
136,16384,16384
137,18432,16384
138,20480,16384
139,22528,16384
140,24576,16384
141,26624,16384
142,28672,16384
143,30720,16384
144,0,18432
145,2048,18432
146,4096,18432
147,6144,18432
148,8192,18432
149,10240,18432
150,12288,18432
151,14336,18432
152,16384,18432
153,18432,18432
154,20480,18432
155,22528,18432
156,24576,18432
157,26624,18432
158,28672,18432
159,30720,18432
161,2048,20480
162,4096,20480
163,6144,20480
169,18432,20480
170,20480,20480
171,22528,20480
172,24576,20480
173,26624,20480
174,28672,20480
