bag_id,x,y
79,20480,6144
80,22528,6144
81,24576,6144
82,26624,6144
83,28672,6144
84,30720,6144
85,32768,6144
86,34816,6144
87,36864,6144
88,38912,6144
100,16384,8192
101,18432,8192
102,20480,8192
103,22528,8192
104,24576,8192
105,26624,8192
106,28672,8192
107,30720,8192
108,32768,8192
109,34816,8192
110,36864,8192
111,38912,8192
123,16384,10240
124,18432,10240
125,20480,10240
126,22528,10240
127,24576,10240
128,26624,10240
129,28672,10240
130,30720,10240
131,32768,10240
132,34816,10240
133,36864,10240
134,38912,10240
135,40960,10240
146,16384,12288
147,18432,12288
148,20480,12288
149,22528,12288
150,24576,12288
151,26624,12288
152,28672,12288
153,30720,12288
154,32768,12288
155,34816,12288
156,36864,12288
157,38912,12288
158,40960,12288
168,14336,14336
170,18432,14336
171,20480,14336
172,22528,14336
173,24576,14336
174,26624,14336
175,28672,14336
176,30720,14336
177,32768,14336
178,34816,14336
179,36864,14336
180,38912,14336
181,40960,14336
190,12288,16384
191,14336,16384
192,16384,16384
193,18432,16384
194,20480,16384
195,22528,16384
196,24576,16384
197,26624,16384
198,28672,16384
199,30720,16384
202,36864,16384
203,38912,16384
211,8192,18432
212,10240,18432
213,12288,18432
214,14336,18432
215,16384,18432
216,18432,18432
217,20480,18432
218,22528,18432
219,24576,18432
220,26624,18432
221,28672,18432
222,30720,18432
233,6144,20480
234,8192,20480
235,10240,20480
236,12288,20480
237,14336,20480
238,16384,20480
239,18432,20480
240,20480,20480
241,22528,20480
242,24576,20480
243,26624,20480
244,28672,20480
246,32768,20480
247,34816,20480
248,36864,20480
249,38912,20480
256,6144,22528
257,8192,22528
258,10240,22528
259,12288,22528
260,14336,22528
261,16384,22528
262,18432,22528
263,20480,22528
264,22528,22528
265,24576,22528
266,26624,22528
267,28672,22528
268,30720,22528
269,32768,22528
270,34816,22528
271,36864,22528
272,38912,22528
273,40960,22528
279,6144,24576
280,8192,24576
281,10240,24576
282,12288,24576
283,14336,24576
288,24576,24576
289,26624,24576
290,28672,24576
291,30720,24576
292,32768,24576
293,34816,24576
294,36864,24576
295,38912,24576
302,6144,26624
303,8192,26624
304,10240,26624
308,18432,26624
309,20480,26624
310,22528,26624
311,24576,26624
312,26624,26624
313,28672,26624
314,30720,26624
315,32768,26624
316,34816,26624
329,14336,28672
330,16384,28672
331,18432,28672
332,20480,28672
333,22528,28672
334,24576,28672
335,26624,28672
336,28672,28672
337,30720,28672
351,12288,30720
352,14336,30720
353,16384,30720
354,18432,30720
355,20480,30720
356,22528,30720
357,24576,30720
358,26624,30720
359,28672,30720
374,12288,32768
375,14336,32768
376,16384,32768
377,18432,32768
378,20480,32768
379,22528,32768
380,24576,32768
381,26624,32768
396,10240,34816
397,12288,34816
398,14336,34816
399,16384,34816
400,18432,34816
401,20480,34816
402,22528,34816
403,24576,34816
420,12288,36864
421,14336,36864
422,16384,36864
423,18432,36864
424,20480,36864
