bag_id,x,y
8,16384,0
9,18432,0
15,4096,2048
16,6144,2048
19,12288,2048
20,14336,2048
21,16384,2048
22,18432,2048
23,20480,2048
24,22528,2048
25,24576,2048
27,2048,4096
28,4096,4096
29,6144,4096
30,8192,4096
31,10240,4096
32,12288,4096
33,14336,4096
34,16384,4096
35,18432,4096
36,20480,4096
37,22528,4096
38,24576,4096
39,0,6144
40,2048,6144
41,4096,6144
42,6144,6144
43,8192,6144
44,10240,6144
45,12288,6144
46,14336,6144
47,16384,6144
48,18432,6144
49,20480,6144
50,22528,6144
51,24576,6144
52,0,8192
53,2048,8192
54,4096,8192
55,6144,8192
56,8192,8192
57,10240,8192
58,12288,8192
59,14336,8192
60,16384,8192
61,18432,8192
62,20480,8192
67,4096,10240
68,6144,10240
69,8192,10240
70,10240,10240
71,12288,10240
72,14336,10240
