bag_id,x,y
18,4096,2048
19,6144,2048
20,8192,2048
21,10240,2048
34,4096,4096
35,6144,4096
36,8192,4096
37,10240,4096
38,12288,4096
39,14336,4096
40,16384,4096
41,18432,4096
50,4096,6144
51,6144,6144
52,8192,6144
53,10240,6144
54,12288,6144
55,14336,6144
56,16384,6144
57,18432,6144
58,20480,6144
59,22528,6144
60,24576,6144
65,2048,8192
66,4096,8192
67,6144,8192
68,8192,8192
69,10240,8192
70,12288,8192
71,14336,8192
72,16384,8192
73,18432,8192
74,20480,8192
75,22528,8192
76,24576,8192
77,26624,8192
78,28672,8192
82,4096,10240
83,6144,10240
84,8192,10240
85,10240,10240
86,12288,10240
87,14336,10240
88,16384,10240
89,18432,10240
90,20480,10240
91,22528,10240
92,24576,10240
93,26624,10240
94,28672,10240
95,30720,10240
102,12288,12288
103,14336,12288
104,16384,12288
105,18432,12288
106,20480,12288
107,22528,12288
108,24576,12288
109,26624,12288
110,28672,12288
111,30720,12288
125,26624,14336
126,28672,14336
127,30720,14336
