bag_id,x,y
2,4096,0
3,6144,0
4,8192,0
28,2048,2048
29,4096,2048
30,6144,2048
31,8192,2048
54,0,4096
55,2048,4096
56,4096,4096
57,6144,4096
58,8192,4096
59,10240,4096
60,12288,4096
81,0,6144
82,2048,6144
83,4096,6144
84,6144,6144
85,8192,6144
86,10240,6144
87,12288,6144
88,14336,6144
93,24576,6144
94,26624,6144
109,2048,8192
110,4096,8192
111,6144,8192
112,8192,8192
113,10240,8192
114,12288,8192
115,14336,8192
116,16384,8192
117,18432,8192
118,20480,8192
119,22528,8192
120,24576,8192
121,26624,8192
122,28672,8192
123,30720,8192
136,2048,10240
137,4096,10240
138,6144,10240
139,8192,10240
140,10240,10240
141,12288,10240
142,14336,10240
143,16384,10240
144,18432,10240
145,20480,10240
146,22528,10240
147,24576,10240
148,26624,10240
149,28672,10240
150,30720,10240
151,32768,10240
152,34816,10240
165,6144,12288
166,8192,12288
167,10240,12288
168,12288,12288
169,14336,12288
170,16384,12288
171,18432,12288
172,20480,12288
173,22528,12288
174,24576,12288
175,26624,12288
176,28672,12288
177,30720,12288
178,32768,12288
179,34816,12288
180,36864,12288
181,38912,12288
182,40960,12288
183,43008,12288
193,8192,14336
194,10240,14336
195,12288,14336
196,14336,14336
197,16384,14336
198,18432,14336
199,20480,14336
200,22528,14336
201,24576,14336
202,26624,14336
203,28672,14336
204,30720,14336
205,32768,14336
206,34816,14336
207,36864,14336
208,38912,14336
209,40960,14336
210,43008,14336
211,45056,14336
212,47104,14336
213,49152,14336
221,10240,16384
222,12288,16384
223,14336,16384
224,16384,16384
225,18432,16384
226,20480,16384
227,22528,16384
228,24576,16384
229,26624,16384
230,28672,16384
231,30720,16384
232,32768,16384
233,34816,16384
234,36864,16384
235,38912,16384
236,40960,16384
237,43008,16384
238,45056,16384
239,47104,16384
240,49152,16384
241,51200,16384
242,53248,16384
248,10240,18432
249,12288,18432
250,14336,18432
251,16384,18432
252,18432,18432
253,20480,18432
254,22528,18432
255,24576,18432
256,26624,18432
257,28672,18432
258,30720,18432
259,32768,18432
260,34816,18432
261,36864,18432
262,38912,18432
263,40960,18432
264,43008,18432
265,45056,18432
266,47104,18432
267,49152,18432
268,51200,18432
269,53248,18432
278,16384,20480
279,18432,20480
280,20480,20480
281,22528,20480
282,24576,20480
283,26624,20480
284,28672,20480
285,30720,20480
286,32768,20480
287,34816,20480
288,36864,20480
289,38912,20480
290,40960,20480
291,43008,20480
292,45056,20480
293,47104,20480
294,49152,20480
295,51200,20480
296,53248,20480
307,20480,22528
308,22528,22528
309,24576,22528
310,26624,22528
311,28672,22528
314,34816,22528
315,36864,22528
316,38912,22528
317,40960,22528
318,43008,22528
319,45056,22528
320,47104,22528
321,49152,22528
322,51200,22528
341,34816,24576
342,36864,24576
343,38912,24576
344,40960,24576
345,43008,24576
346,45056,24576
347,47104,24576
348,49152,24576
349,51200,24576
371,40960,26624
372,43008,26624
373,45056,26624
374,47104,26624
375,49152,26624
376,51200,26624
377,53248,26624
399,43008,28672
400,45056,28672
401,47104,28672
402,49152,28672
403,51200,28672
